"ТРЦ ""King Cross Leopolis""","49.774236836561265, 24.011694996112773","112,172",,,
"ТРЦ ""King Cross Leopolis"" (парковка)","49.774100664072016, 24.012396162319632","50,120",,,
"ТРЦ ""King Cross Leopolis"" (Стрийська)","49.774776126773006, 24.01442929167856","30,330",,,362
вул. Сокільницька,"49.78420322268945, 24.01443911910798","30,330",,,
Автовокзал,"49.78749425311768, 24.01700940393107","90,180",,,
вул. Михайла Максимовича,"49.79255317970859, 24.016138019587967","30,330",,,
вул. Ярослава Гашека,"49.79468613707576, 24.016654437815415","30,330",,,
вул. Скорини,"49.79804962806848, 24.017355644820633","30,330",,,
вул. Стрийська - вул. Наукова,"49.802644307478985, 24.018376816964086","30,330",,,
Автобусний завод,"49.808559433403154, 24.019384553784406","30,330",,,
Податкова,"49.81528480712255, 24.020091264779886","30,330",,,
Дитяча залізниця,"49.820392549893555, 24.02045905913048","30,330",,,
Академія сухопутних військ,"49.82534925405407, 24.022924189833066","80,140",,,
Стрийський ринок,"49.82954260637525, 24.032278156109385","0,90",,,
пл. Петрушевича,"49.8338988614269, 24.035496881705438","30,330",,,
вул. Володимира Шухевича,"49.837442483389324, 24.035054650810974","30,330",,,
вул. Підвальна,"49.84250084378937, 24.03519874598037","300,40",,,
вул. Театральна,"49.84487461423978, 24.027655693647567","210,300",,,
пл. Різні,"49.845561939948595, 24.02608744908175","270,330",,,
Театр опери та балету (зворотній),"49.844091724204844, 24.02564262788145","130,190",,,
пр. Свободи (зворотній),"49.84018109361715, 24.02812029023851","115,170",,,
вул. Князя Романа (зворотній),"49.83766245782201, 24.032959541568744","120,170",,,
вул. Шота Руставелі (зворотній),"49.83360048698322, 24.035188188009904","150,220",,,
Стрийський ринок (зворотній),"49.82989542840822, 24.03246559848786","180,220",,,
Академія сухопутних військ (зворотній),"49.82423889731485, 24.02061747244792","120,240",,,
Дитяча залізниця (зворотній),"49.82056688946227, 24.02019956725727","165,225",,,
Податкова (зворотній),"49.81500916906329, 24.0196612290905","165,225",,,
Автобусний завод (зворотній),"49.80789529067955, 24.01900748898899","165,225",,,
вул. Стрийська - вул. Наукова (зворотній),"49.80143897183252, 24.017578299050896","150,220",,,
вул. Скорини (зворотній),"49.79785714401484, 24.01680537467302","150,220",,,
вул. Ярослава Гашека (зворотній),"49.79426009521457, 24.016016147536888","150,220",,,
вул. Михайла Максимовича (зворотній),"49.79149892222282, 24.015453402453574","150,220",,,
Автовокзал (зворотній),"49.78764221474219, 24.014611323191993","150,220",,,
вул. Сокільницька (зворотній),"49.783356657688245, 24.013856298027722","130,210",,,
смт Рудне (Духовна cемінарія),"49.842676929327446, 23.860603683482157","70, 270",,,
смт Рудне (вул. Шевченка),"49.84036474518914, 23.865550570322146","120, 240",,,
смт Рудне (вул. Лисенка),"49.83852552260933, 23.86375046998757","60, 240",,,
смт Рудне (Стадіон),"49.83813791548628, 23.86835238156566","60, 120",,,
