name,Coordinates,Degrees
вул. Зернова (180А),"49.84633753622447, 24.02506137027314","0,100"
Палац культури ім. Гната Хоткевича,"49.85117703005718, 24.0244292346394","310,10"
вул. Хімічна,"49.85449530860822, 24.022957248706945","310,10"
Шевченківська райадміністрація,"49.8577617664848, 24.021302796013142","310,10"
Парк 700-річчя Львова,"49.86257297739595, 24.018712116634553","310,10"
вул. Варшавська,"49.865910211737294, 24.017001801240347","300,20"
Голоско,"49.869237051345614, 24.01832290828941","0,60"
Замарстинів,"49.87120429072675, 24.018613105265423","280,350"
Поліклініка УМВС,"49.87393990785985, 24.013517352728186","270,340"
Дитячий диспансер,"49.878055107703425, 24.003394522360896","270,340"
смт Брюховичі (Цвинтар),"49.89749377990268, 23.964138823977432","270,340"
смт Брюховичі (вул. Весняна),"49.899419675441614, 23.961528395383194","200,360"
смт Брюховичі (вул. Смолиста),"49.89509807254802, 23.946086420029122","240,350"
смт Брюховичі (Сільрада),"49.90272174694766, 23.941304385504843","300,20"
смт Брюховичі (Вокзал),"49.90409725103598, 23.940676772843098","300,80"
"смт Брюховичі (Пансіонат ""Львів"")","49.90687600000001, 23.94764204245776","20,80"
смт Брюховичі (вул. Пляжна),"49.9056336221452, 23.957357077911606","80,140"
смт Брюховичі (вул. Курортна),"49.90438799813314, 23.960075918837212","10,170"
смт Брюховичі (вул. Вербова),"49.91408591800153, 23.965592078778414","0,60"
смт Брюховичі (вул. Січових Стрільців),"49.91729813158405, 23.968372333449235","20,80"
смт Брюховичі (вул. Під Осовою),"49.92222787546724, 23.982338474787994","330,70"
смт Брюховичі (вул. Під Осовою) (зворотній),"49.92222469407257, 23.98234925009034","120,270"
смт Брюховичі (вул. Січових Стрільців) (зворотній),"49.91732605432094, 23.968155478484945","190,250"
смт Брюховичі (вул. Вербова) (зворотній),"49.9140140286374, 23.965388477626856","160,220"
смт Брюховичі (вул. Курортна) (зворотній),"49.90454738418247, 23.9602109920997","190,350"
смт Брюховичі (вул. Пляжна) (зворотній),"49.90579254934722, 23.957367806746962","260,330"
"смт Брюховичі (Пансіонат ""Львів"") (зворотній)","49.907013334992584, 23.94762500674696","220,280"
смт Брюховичі (Вокзал) (зворотній),"49.90365933287071, 23.9398362445801","110,260"
смт Брюховичі (вул. Івасюка) (зворотній),"49.90175435468829, 23.941598323047003","140,200"
смт Брюховичі (вул. Смолиста) (зворотній),"49.89473813467581, 23.94662848797804","60,170"
смт Брюховичі (вул. Весняна) (зворотній),"49.89923931938776, 23.96147944907625","30,170"
смт Брюховичі (Цвинтар) (зворотній),"49.897381, 23.963928635582317","90,150"
Дитячий диспансер (зворотній),"49.87754072365885, 24.003864667275195","100,160"
Поліклініка УМВС (зворотній),"49.87378993839088, 24.013551629554264","85,145"
Замарстинів (зворотній),"49.87129756348497, 24.018041181272274","100,170"
Голоско (зворотній),"49.8695876877851, 24.018264344897805","170,230"
вул. Варшавська(зворотня),"49.866471272464295, 24.016084821880064","130,190"
Парк 700-річчя Львова(зворотня),"49.861727149812836, 24.018621533604026","130,190"
Шевченківська райадміністрація(зворотня),"49.85779629893758, 24.020738582557243","130,190"
Шевченківська райадміністрація(зворотня) 1,"49.856065623381205, 24.02171843725761","130,190"
вул. Хімічна(зворотня),"49.85428522637654, 24.022701423777306","130,190"
вул. Пантелеймона Куліша  (зворотній),"49.84894939755083, 24.024310124598742","150,210"
вул. Зернова  (зворотній),"49.84634587506685, 24.025062938871685","70,200"
