,А15,А21,А23,А31,А58,А59
05:00-06:00,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
06:00-07:00,4.0,3.0,3.0,3.0,1.0,1.0
07:00-08:00,8.0,9.0,10.0,6.0,2.0,1.0
08:00-09:00,8.0,10.0,14.0,6.0,2.0,1.0
09:00-10:00,8.0,10.0,14.0,6.0,2.0,1.0
10:00-11:00,8.0,10.0,14.0,6.0,1.0,1.0
11:00-12:00,8.0,10.0,14.0,6.0,1.0,-1.0
12:00-13:00,8.0,10.0,14.0,6.0,-1.0,-1.0
13:00-14:00,8.0,10.0,14.0,6.0,1.0,-1.0
14:00-15:00,8.0,10.0,14.0,6.0,2.0,-1.0
15:00-16:00,8.0,10.0,14.0,6.0,2.0,-1.0
16:00-17:00,8.0,10.0,14.0,6.0,1.0,1.0
17:00-18:00,8.0,10.0,14.0,6.0,1.0,1.0
18:00-19:00,8.0,10.0,14.0,6.0,1.0,1.0
19:00-20:00,8.0,10.0,14.0,6.0,1.0,1.0
20:00-21:00,8.0,10.0,14.0,6.0,1.0,1.0
21:00-22:00,7.0,9.0,12.0,4.0,-1.0,1.0
22:00-23:00,2.0,-1.0,5.0,2.0,-1.0,1.0
Presence rate,74.4,58.28,56.81,49.46,84.21,100.0
