,А51,А53,А62
05:00-06:00,1.0,1.0,-1.0
06:00-07:00,15.0,9.0,-1.0
07:00-08:00,18.0,15.0,1.0
08:00-09:00,18.0,18.0,1.0
09:00-10:00,18.0,18.0,1.0
10:00-11:00,18.0,18.0,1.0
11:00-12:00,18.0,18.0,1.0
12:00-13:00,18.0,18.0,1.0
13:00-14:00,18.0,18.0,1.0
14:00-15:00,18.0,18.0,-1.0
15:00-16:00,18.0,18.0,1.0
16:00-17:00,18.0,18.0,1.0
17:00-18:00,18.0,18.0,1.0
18:00-19:00,18.0,18.0,1.0
19:00-20:00,18.0,18.0,1.0
20:00-21:00,18.0,15.0,-1.0
21:00-22:00,18.0,8.0,-1.0
22:00-23:00,4.0,3.0,-1.0
Presence rate,78.62,83.15,75.0
