,А13,А17,А22,А34,А39,А41,А43
05:00-06:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
06:00-07:00,2.0,3.0,1.0,7.0,2.0,6.0,2.0
07:00-08:00,6.0,6.0,2.0,12.0,3.0,15.0,6.0
08:00-09:00,6.0,6.0,2.0,12.0,3.0,15.0,6.0
09:00-10:00,6.0,6.0,2.0,12.0,3.0,15.0,6.0
10:00-11:00,6.0,6.0,2.0,12.0,3.0,15.0,6.0
11:00-12:00,6.0,6.0,2.0,12.0,3.0,15.0,6.0
12:00-13:00,6.0,6.0,2.0,12.0,3.0,15.0,6.0
13:00-14:00,6.0,6.0,2.0,12.0,3.0,15.0,6.0
14:00-15:00,6.0,6.0,1.0,12.0,3.0,15.0,6.0
15:00-16:00,6.0,6.0,1.0,12.0,3.0,15.0,6.0
16:00-17:00,6.0,6.0,2.0,12.0,3.0,15.0,6.0
17:00-18:00,6.0,6.0,2.0,12.0,3.0,15.0,6.0
18:00-19:00,6.0,6.0,2.0,12.0,3.0,15.0,6.0
19:00-20:00,6.0,6.0,2.0,12.0,3.0,15.0,6.0
20:00-21:00,6.0,6.0,2.0,12.0,3.0,15.0,6.0
21:00-22:00,4.0,6.0,-1.0,10.0,1.0,12.0,6.0
22:00-23:00,1.0,2.0,-1.0,2.0,-1.0,4.0,2.0
Presence rate,56.04,24.21,96.3,75.94,71.11,59.05,62.77
