,А01,А03,А05,А06,А08,А09,А10,А16,А18,А19,А20,А29,А32,А37,А40,А46,А47,А52,А55,А56,А60,А61,А63
05:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:00-07:00,4.0,2.0,2.0,5.0,2.0,6.0,2.0,8.0,7.0,3.0,15.0,5.0,10.0,7.0,5.0,9.0,10.0,9.0,1.0,0.0,0.0,3.0,1.0
07:00-08:00,9.0,11.0,5.0,9.0,6.0,13.0,6.0,13.0,10.0,9.0,18.0,8.0,11.0,13.0,10.0,18.0,22.0,12.0,1.0,1.0,1.0,6.0,1.0
08:00-09:00,9.0,12.0,5.0,8.0,6.0,13.0,6.0,13.0,10.0,9.0,18.0,9.0,11.0,13.0,10.0,18.0,22.0,12.0,1.0,1.0,1.0,6.0,1.0
09:00-10:00,9.0,12.0,5.0,8.0,6.0,13.0,6.0,13.0,10.0,9.0,18.0,9.0,11.0,13.0,10.0,18.0,22.0,12.0,1.0,1.0,1.0,6.0,1.0
10:00-11:00,9.0,12.0,5.0,8.0,5.0,13.0,6.0,13.0,10.0,9.0,18.0,9.0,11.0,12.0,10.0,18.0,22.0,12.0,1.0,1.0,1.0,6.0,1.0
11:00-12:00,9.0,12.0,5.0,9.0,5.0,13.0,6.0,13.0,10.0,9.0,17.0,9.0,10.0,12.0,10.0,18.0,22.0,12.0,0.0,1.0,0.0,6.0,1.0
12:00-13:00,9.0,12.0,5.0,9.0,4.0,13.0,5.0,13.0,10.0,9.0,17.0,9.0,10.0,11.0,10.0,18.0,22.0,12.0,1.0,1.0,0.0,6.0,1.0
13:00-14:00,9.0,12.0,5.0,9.0,5.0,13.0,6.0,13.0,10.0,9.0,18.0,9.0,10.0,11.0,10.0,18.0,22.0,12.0,0.0,1.0,1.0,6.0,0.0
14:00-15:00,9.0,12.0,5.0,9.0,5.0,13.0,5.0,12.0,10.0,8.0,16.0,9.0,10.0,11.0,10.0,18.0,22.0,12.0,1.0,1.0,1.0,5.0,0.0
15:00-16:00,8.0,11.0,4.0,6.0,6.0,13.0,6.0,10.0,10.0,9.0,17.0,9.0,9.0,11.0,10.0,17.0,19.0,12.0,1.0,1.0,1.0,5.0,1.0
16:00-17:00,8.0,11.0,4.0,6.0,6.0,12.0,6.0,10.0,10.0,9.0,17.0,9.0,10.0,10.0,10.0,17.0,18.0,12.0,1.0,1.0,0.0,5.0,1.0
17:00-18:00,8.0,11.0,5.0,6.0,6.0,12.0,6.0,10.0,10.0,9.0,17.0,9.0,10.0,10.0,10.0,17.0,18.0,12.0,1.0,1.0,1.0,5.0,1.0
18:00-19:00,8.0,11.0,5.0,6.0,6.0,12.0,6.0,10.0,10.0,9.0,17.0,9.0,10.0,8.0,10.0,17.0,18.0,12.0,1.0,1.0,1.0,5.0,1.0
19:00-20:00,9.0,11.0,4.0,6.0,6.0,12.0,5.0,10.0,10.0,9.0,17.0,9.0,10.0,4.0,10.0,17.0,18.0,12.0,1.0,1.0,1.0,5.0,1.0
20:00-21:00,8.0,8.0,5.0,6.0,4.0,12.0,5.0,10.0,10.0,7.0,15.0,8.0,7.0,2.0,10.0,16.0,18.0,12.0,0.0,0.0,1.0,2.0,1.0
21:00-22:00,5.0,6.0,5.0,3.0,1.0,9.0,1.0,8.0,10.0,1.0,5.0,7.0,0.0,0.0,9.0,13.0,10.0,7.0,0.0,0.0,0.0,0.0,1.0
22:00-23:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Presence rate,94.2,94.86,79.57,84.96,91.86,95.54,95.4,79.65,82.81,85.81,93.86,95.8,88.24,73.27,99.37,95.02,90.83,97.89,100.0,100.0,100.0,75.49,87.5
