,Т01,Т02,Т03,Т04,Т06,Т08,Т09,Тр22,Тр23,Тр24,Тр25,Тр27,Тр30,Тр31,Тр32,Тр33,Тр38
05:00-06:00,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
06:00-07:00,3.0,7.0,6.0,8.0,7.0,10.0,7.0,7.0,5.0,6.0,5.0,0.0,6.0,2.0,7.0,6.0,4.0
07:00-08:00,7.0,9.0,10.0,11.0,10.0,14.0,8.0,12.0,6.0,8.0,7.0,1.0,7.0,3.0,7.0,10.0,8.0
08:00-09:00,7.0,9.0,10.0,11.0,10.0,14.0,8.0,12.0,6.0,8.0,7.0,1.0,7.0,3.0,7.0,11.0,8.0
09:00-10:00,7.0,9.0,10.0,11.0,10.0,13.0,8.0,12.0,6.0,8.0,7.0,1.0,7.0,3.0,7.0,11.0,8.0
10:00-11:00,7.0,8.0,10.0,10.0,10.0,14.0,8.0,12.0,6.0,7.0,7.0,1.0,6.0,3.0,7.0,11.0,8.0
11:00-12:00,6.0,9.0,9.0,9.0,9.0,12.0,7.0,10.0,6.0,7.0,6.0,0.0,6.0,3.0,6.0,10.0,8.0
12:00-13:00,6.0,9.0,9.0,9.0,8.0,13.0,7.0,10.0,6.0,7.0,5.0,0.0,6.0,3.0,6.0,11.0,8.0
13:00-14:00,6.0,9.0,9.0,9.0,8.0,12.0,7.0,10.0,6.0,7.0,5.0,0.0,6.0,3.0,6.0,11.0,8.0
14:00-15:00,6.0,9.0,7.0,9.0,8.0,13.0,7.0,10.0,6.0,7.0,6.0,0.0,6.0,3.0,6.0,11.0,7.0
15:00-16:00,6.0,10.0,7.0,9.0,10.0,13.0,7.0,10.0,6.0,8.0,7.0,1.0,6.0,3.0,7.0,10.0,7.0
16:00-17:00,6.0,9.0,7.0,10.0,10.0,13.0,7.0,10.0,6.0,8.0,7.0,1.0,6.0,3.0,7.0,10.0,7.0
17:00-18:00,6.0,9.0,7.0,10.0,10.0,13.0,7.0,11.0,6.0,8.0,7.0,1.0,6.0,3.0,7.0,10.0,7.0
18:00-19:00,6.0,9.0,7.0,10.0,10.0,13.0,7.0,12.0,6.0,8.0,7.0,1.0,5.0,3.0,7.0,10.0,7.0
19:00-20:00,6.0,9.0,7.0,10.0,9.0,13.0,7.0,12.0,6.0,7.0,6.0,0.0,6.0,3.0,7.0,9.0,7.0
20:00-21:00,6.0,9.0,7.0,10.0,8.0,13.0,5.0,11.0,6.0,7.0,5.0,0.0,5.0,1.0,6.0,10.0,7.0
21:00-22:00,6.0,8.0,7.0,8.0,8.0,12.0,5.0,10.0,6.0,7.0,5.0,0.0,5.0,0.0,6.0,8.0,7.0
22:00-23:00,3.0,3.0,3.0,3.0,5.0,5.0,3.0,6.0,3.0,2.0,4.0,0.0,4.0,0.0,2.0,3.0,5.0
Presence rate,94.34,88.89,82.32,97.52,99.34,93.39,92.0,98.33,98.99,99.18,100.0,100.0,93.46,100.0,99.08,95.86,93.08
