,А51,А53,А62
05:00-06:00,1.0,1.0,0.0
06:00-07:00,10.0,9.0,0.0
07:00-08:00,16.0,14.0,1.0
08:00-09:00,16.0,17.0,1.0
09:00-10:00,16.0,17.0,1.0
10:00-11:00,17.0,16.0,0.0
11:00-12:00,17.0,17.0,0.0
12:00-13:00,17.0,17.0,1.0
13:00-14:00,16.0,17.0,1.0
14:00-15:00,16.0,17.0,0.0
15:00-16:00,16.0,13.0,0.0
16:00-17:00,13.0,12.0,1.0
17:00-18:00,14.0,12.0,1.0
18:00-19:00,12.0,13.0,1.0
19:00-20:00,13.0,13.0,1.0
20:00-21:00,11.0,10.0,0.0
21:00-22:00,7.0,6.0,0.0
22:00-23:00,0.0,1.0,0.0
Presence rate,78.62,83.15,75.0
