Звіт про перебування на маршрутній мережі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Перевізник: ""АТП-1""
Дата: 21.03.2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"з 05:00
до 06:00",,"з 06:00
до 07:00",,"з 07:00
до 08:00",,"з 08:00
до 09:00",,"з 09:00
до 10:00",,"з 10:00
до 11:00",,"з 11:00
до 12:00",,"з 12:00
до 13:00",,"з 13:00
до 14:00",,"з 14:00
до 15:00",,"з 15:00
до 16:00",,"з 16:00
до 17:00",,"з 17:00
до 18:00",,"з 18:00
до 19:00",,"з 19:00
до 20:00",,"з 20:00
до 21:00",,"з 21:00
до 22:00",,"з 22:00
до 23:00",,"з 23:00
до 00:00",,"з 00:00
до 01:00",,"з 01:00
до 02:00",,"з 02:00
до 03:00",,"з 03:00
до 04:00",,"з 04:00
до 05:00",,"Коефіцієнт присутності на маршруті, %"
План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,План,Факт,
А01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,2"
,,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,8,9,8,9,8,9,9,8,8,7,5,2,0,,,,,,,,,,,,,
А03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,86"
,,2,2,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,11,12,11,12,11,12,11,11,8,6,6,1,0,,,,,,,,,,,,,
А05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79,57"
,,3,2,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,4,6,4,6,5,6,5,6,4,6,5,6,5,,,,,,,,,,,,,,,
А06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84,96"
,,5,5,9,9,9,8,9,8,9,8,9,9,9,9,9,9,9,9,9,6,9,6,9,6,9,6,9,6,7,6,4,3,,,,,,,,,,,,,,,
А08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,86"
,,2,2,6,6,6,6,6,6,6,5,5,5,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,4,4,1,1,0,,,,,,,,,,,,,
А09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,54"
,,6,6,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,12,13,12,13,12,13,12,11,9,3,1,,,,,,,,,,,,,
А10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,4"
,,2,2,6,6,6,6,6,6,6,6,6,6,5,5,6,6,5,5,6,6,6,6,6,6,6,6,6,5,6,5,3,1,,,,,,,,,,,,,,,
А16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79,65"
,,8,8,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,12,14,10,14,10,14,10,14,10,14,10,14,10,14,8,8,1,,,,,,,,,,,,,
А18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,81"
,,8,7,12,10,12,10,12,10,12,10,12,10,12,10,12,10,12,10,12,10,12,10,12,10,12,10,12,10,12,10,12,10,4,2,,,,,,,,,,,,,
А19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,81"
,,4,3,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,8,10,9,10,9,10,9,10,9,10,9,10,7,4,1,,,,,,,,,,,,,,,
А20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93,86"
,,15,15,18,18,18,18,18,18,18,18,18,17,18,17,18,18,18,16,18,17,18,17,18,17,18,17,18,17,18,15,10,5,,,,,,,,,,,,,,,
А29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,8"
,,6,5,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,7,3,1,,,,,,,,,,,,,
А32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88,24"
,,10,10,11,11,11,11,11,11,11,11,11,10,11,10,11,10,11,10,11,9,11,10,11,10,11,10,11,10,11,7,6,0,,,,,,,,,,,,,,,
А37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,27"
,,10,7,13,13,13,13,13,13,13,12,13,12,13,11,13,11,13,11,13,11,13,10,13,10,13,8,13,4,13,2,8,0,2,0,,,,,,,,,,,,,
А40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,37"
,,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,3,3,,,,,,,,,,,,,
А46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,02"
,,10,9,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,18,17,18,17,18,17,18,17,17,16,16,13,4,0,,,,,,,,,,,,,
А47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,83"
,,10,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,19,22,18,22,18,22,18,22,18,21,18,15,10,6,2,,,,,,,,,,,,,
