agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url,agency_email,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,ident,service_id,trip_id,direction_id,trip_headsign,block_id,shape_id,wheelchair_accessible,bikes_allowed
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,0,224,15854_0_0,0,Залізничний вокзал (191),15854,133.0,0,0
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,1,224,15854_0_1,1,Кавалерідзе (426),15854,134.0,0,0
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,2,224,15854_1_0,0,Залізничний вокзал (191),15854,133.0,0,0
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,3,224,15854_1_1,1,Кавалерідзе (426),15854,134.0,0,0
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,4,224,15854_2_0,0,Залізничний вокзал (191),15854,133.0,0,0
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,5,224,15854_2_1,1,Кавалерідзе (426),15854,134.0,0,0
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,6,224,15854_3_0,0,Залізничний вокзал (191),15854,133.0,0,0
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,7,224,15854_3_1,1,Кавалерідзе (426),15854,134.0,0,0
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,8,224,15854_4_0,0,Залізничний вокзал (191),15854,133.0,0,0
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,9,224,15854_4_1,1,Кавалерідзе (426),15854,134.0,0,0
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,10,224,15854_5_0,0,Залізничний вокзал (191),15854,133.0,0,0
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,11,224,15854_5_1,1,Кавалерідзе (426),15854,134.0,0,0
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,12,224,15854_6_0,0,Залізничний вокзал (191),15854,133.0,0,0
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,13,224,15855_0_0,0,Залізничний вокзал (191),15855,133.0,0,0
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,14,224,15855_0_1,1,Кавалерідзе (426),15855,134.0,0,0
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,15,224,15855_1_0,0,Залізничний вокзал (191),15855,133.0,0,0
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,16,224,15855_1_1,1,Кавалерідзе (426),15855,134.0,0,0
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,17,224,15855_2_0,0,Залізничний вокзал (191),15855,133.0,0,0
52,АТП-1,https://atp1.lviv.ua/,Europe/Kiev,uk,,,,112,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f,18,224,15855_2_1,1,Кавалерідзе (426),15855,134.0,0,0
